as a|as_a
you are|you_are
we are|we_are
got a|got_a
the state|the_state
have to|have_to
need to|need_to
been a|been_a
one of the|one_of_the
you have|you_have
to do|to_do
i would|i_would
i know|i_know
the new|the_new
we are|we_are
when i|when_i
one of the|one_of_the
of his|of_his
to go|to_go
the other|the_other
and it|and_it
up the|up_the
go to|go_to
take a|take_a
of this|of_this
i will|i_will
the world|the_world
all of|all_of
when you|when_you
want to|want_to
as well|as_well
some of|some_of
over the|over_the
are a|are_a
able to|able_to
a bit|a_bit
the most|the_most
he was|he_was
part of|part_of
see you|see_you
in this|in_this
is that|is_that
to the|to_the
if i|if_i
for me|for_me
this is|this_is
a good|a_good
the same|the_same
we have|we_have
part of|part_of
was the|was_the
last year|last_year
in his|in_his
after a|after_a
the time|the_time
was the|was_the
the way|the_way
with a|with_a
to me|to_me
of course|of_course
lot of|lot_of
what i|what_i
from the|from_the
that he|that_he
for your|for_your
a lot|a_lot
me a|me_a
the city|the_city
after the|after_the
but the|but_the
forward to|forward_to
if i|if_i
follow me|follow_me
for you|for_you
the most|the_most
im not|im_not
what a|what_a
i love|i_love
a lot of|a_lot_of
had to|had_to
about a|about_a
more than|more_than
i could|i_could
a new|a_new
that i|that_i
back to|back_to
on my|on_my
last night|last_night
but it|but_it
that it|that_it
to my|to_my
to have|to_have
would be|would_be
to make|to_make
i got|i_got
lot of|lot_of
at least|at_least
to have|to_have
than a|than_a
me to|me_to
i hope|i_hope
trying to|trying_to
new york|new_york
i would|i_would
to me|to_me
the last|the_last
the best|the_best
to take|to_take
at least|at_least
to you|to_you
when the|when_the
a lot of|a_lot_of
time to|time_to
that a|that_a
to my|to_my
having a|having_a
way to|way_to
which is|which_is
that we|that_we
this year|this_year
in the|in_the
a new|a_new
i think|i_think
you for|you_for
is in|is_in
such as|such_as
the world|the_world
trying to|trying_to
up a|up_a
a few|a_few
a great|a_great
back to|back_to
and that|and_that
so i|so_i
i hate|i_hate
they were|they_were
the us|the_us
a new|a_new
the next|the_next
that you|that_you
i get|i_get
the end|the_end
did you|did_you
to say|to_say
and other|and_other
with my|with_my
for me|for_me
so much|so_much
of his|of_his
the new|the_new
theres a|theres_a
up to|up_to
kind of|kind_of
and i|and_i
through the|through_the
im a|im_a
there are|there_are
i had|i_had
of a|of_a
need a|need_a
i just|i_just
or a|or_a
the last|the_last
that is|that_is
we have|we_have
i do|i_do
of our|of_our
the first|the_first
i feel|i_feel
wanted to|wanted_to
time to|time_to
i like|i_like
i didnt|i_didnt
is not|is_not
some of|some_of
about the|about_the
there was|there_was
talking about|talking_about
a little|a_little
as well|as_well
that he|that_he
all the|all_the
that they|that_they
i was|i_was
it a|it_a
i did|i_did
with my|with_my
if you|if_you
you guys|you_guys
of them|of_them
wait to|wait_to
when he|when_he
a year|a_year
and we|and_we
to the|to_the
we were|we_were
the day|the_day
im not|im_not
you know|you_know
should be|should_be
they are|they_are
the best|the_best
to see|to_see
looking forward|looking_forward
you dont|you_dont
i could|i_could
up to|up_to
to take|to_take
able to|able_to
trying to|trying_to
a little|a_little
can be|can_be
and his|and_his
because i|because_i
what you|what_you
there is|there_is
is not|is_not
looking forward to|looking_forward_to
in an|in_an
a few|a_few
like to|like_to
i dont|i_dont
when we|when_we
is it|is_it
dont know|dont_know
to go|to_go
thank you for|thank_you_for
a very|a_very
for my|for_my
that was|that_was
the next|the_next
he is|he_is
check out|check_out
i cant|i_cant
years ago|years_ago
i thought|i_thought
i wish|i_wish
the only|the_only
of it|of_it
do you|do_you
i do|i_do
when the|when_the
had been|had_been
he has|he_has
all of|all_of
it and|it_and
would have|would_have
of the|of_the
of their|of_their
the follow|the_follow
the company|the_company
to find|to_find
the new|the_new
a couple|a_couple
did not|did_not
it to|it_to
cant wait to|cant_wait_to
we have|we_have
they were|they_were
ive been|ive_been
most of|most_of
hope you|hope_you
the second|the_second
because of|because_of
happy birthday|happy_birthday
with you|with_you
being a|being_a
is to|is_to
way to|way_to
when you|when_you
a good|a_good
like the|like_the
she was|she_was
the game|the_game
you a|you_a
me to|me_to
be the|be_the
i love you|i_love_you
i got|i_got
st louis|st_louis
you can|you_can
the only|the_only
they are|they_are
for my|for_my
and that|and_that
you and|you_and
the day|the_day
do not|do_not
high school|high_school
in your|in_your
made a|made_a
let me|let_me
you want|you_want
he had|he_had
the way|the_way
he is|he_is
by the|by_the
the way|the_way
to all|to_all
of their|of_their
for the follow|for_the_follow
in his|in_his
i want|i_want
up with|up_with
through the|through_the
to hear|to_hear
the other|the_other
need to|need_to
would have|would_have
how to|how_to
good morning|good_morning
there is|there_is
the end|the_end
it would|it_would
out the|out_the
you to|you_to
the time|the_time
you will|you_will
do it|do_it
up and|up_and
have the|have_the
i miss|i_miss
he has|he_has
not to|not_to
percent of|percent_of
are the|are_the
this weekend|this_weekend
thats a|thats_a
if the|if_the
be the|be_the
we can|we_can
that was|that_was
end of|end_of
of these|of_these
what i|what_i
the past|the_past
should be|should_be
at least|at_least
the world|the_world
love to|love_to
of your|of_your
is so|is_so
make it|make_it
how to|how_to
around the|around_the
the most|the_most
going to be|going_to_be
kind of|kind_of
take the|take_the
to help|to_help
i didnt|i_didnt
im so|im_so
find a|find_a
to keep|to_keep
that was|that_was
i really|i_really
looking for|looking_for
before the|before_the
and they|and_they
for the|for_the
me and|me_and
ill be|ill_be
it has|it_has
have you|have_you
of all|of_all
in this|in_this
like the|like_the
said it|said_it
that is|that_is
just got|just_got
know what|know_what
this week|this_week
for this|for_this
in our|in_our
on twitter|on_twitter
she was|she_was
im going|im_going
are not|are_not
my life|my_life
in and|in_and
they have|they_have
on your|on_your
and in|and_in
decided to|decided_to
we had|we_had
is an|is_an
its not|its_not
had been|had_been
new jersey|new_jersey
all of|all_of
said that|said_that
couple of|couple_of
this morning|this_morning
are the|are_the
i want to|i_want_to
well as|well_as
to work|to_work
of us|of_us
this was|this_was
said in|said_in
and he|and_he
you should|you_should
off the|off_the
like to|like_to
be the|be_the
know that|know_that
to say|to_say
of your|of_your
have been|have_been
wish i|wish_i
and he|and_he
could be|could_be
said i|said_i
is that|is_that
of you|of_you
and then|and_then
time i|time_i
about to|about_to
you think|you_think
it will|it_will
is going|is_going
ready for|ready_for
you get|you_get
dont know|dont_know
and my|and_my
you to|you_to
number of|number_of
but it|but_it
feel like|feel_like
about it|about_it
up to|up_to
what is|what_is
a year|a_year
out to|out_to
of her|of_her
used to|used_to
love it|love_it
in their|in_their
out a|out_a
that you|that_you
me and|me_and
that it|that_it
and you|and_you
last week|last_week
its not|its_not
as well as|as_well_as
which is|which_is
to be a|to_be_a
get to|get_to
down to|down_to
go to|go_to
what is|what_is
end of|end_of
to keep|to_keep
to work|to_work
thanks to|thanks_to
it was a|it_was_a
to give|to_give
who was|who_was
most of|most_of
it to|it_to
to use|to_use
lot of|lot_of
and its|and_its
the only|the_only
look at|look_at
i really|i_really
at all|at_all
did not|did_not
some of the|some_of_the
back to|back_to
it would|it_would
of those|of_those
on this|on_this
of its|of_its
i thought|i_thought
the next|the_next
so that|so_that
as it|as_it
but he|but_he
you want|you_want
listening to|listening_to
the last|the_last
against the|against_the
the whole|the_whole
and to|and_to
you do|you_do
the season|the_season
has been|has_been
but a|but_a
in their|in_their
love the|love_the
well as|well_as
out of the|out_of_the
in your|in_your
i have|i_have
i hope|i_hope
good luck|good_luck
and it|and_it
the end of|the_end_of
see the|see_the
and you|and_you
i guess|i_guess
at pm|at_pm
should be|should_be
ready to|ready_to
as well as|as_well_as
the rest|the_rest
a lot of|a_lot_of
the team|the_team
looks like|looks_like
do a|do_a
the right|the_right
is that|is_that
way to|way_to
the fact|the_fact
we are|we_are
the two|the_two
of you|of_you
gonna be|gonna_be
it in|it_in
because of|because_of
be in|be_in
such as|such_as
have the|have_the
he had|he_had
it i|it_i
the one|the_one
was not|was_not
we can|we_can
and not|and_not
ive been|ive_been
around the|around_the
with his|with_his
to know|to_know
be able|be_able
after the|after_the
that would|that_would
not the|not_the
the past|the_past
you dont|you_dont
and its|and_its
there was|there_was
thinking about|thinking_about
if the|if_the
and his|and_his
this week|this_week
i see|i_see
be able to|be_able_to
dont have|dont_have
you were|you_were
to be a|to_be_a
had to|had_to
try to|try_to
its not|its_not
the book|the_book
can you|can_you
to his|to_his
kind of|kind_of
you need|you_need
you have|you_have
for you|for_you
in fact|in_fact
me i|me_i
to help|to_help
on his|on_his
more than|more_than
i also|i_also
when a|when_a
of this|of_this
i feel|i_feel
for his|for_his
may be|may_be
enough to|enough_to
know what|know_what
to come|to_come
them to|them_to
to play|to_play
a couple of|a_couple_of
become a|become_a
me i|me_i
the top|the_top
a great|a_great
to take|to_take
get it|get_it
i need to|i_need_to
she is|she_is
my life|my_life
this year|this_year
to your|to_your
this year|this_year
but i|but_i
it will|it_will
part of|part_of
the country|the_country
as well|as_well
see a|see_a
then i|then_i
they have|they_have
it out|it_out
is my|is_my
i wanted|i_wanted
only a|only_a
up with|up_with
is to|is_to
fact that|fact_that
miss you|miss_you
which i|which_i
so many|so_many
took a|took_a
off the|off_the
of our|of_our
was in|was_in
out the|out_the
that they|that_they
to know|to_know
the year|the_year
i have a|i_have_a
in all|in_all
to this|to_this
bit of|bit_of
not only|not_only
that this|that_this
of that|of_that
you too|you_too
he said|he_said
my own|my_own
of those|of_those
part of the|part_of_the
think i|think_i
have a|have_a
we will|we_will
over a|over_a
im going to|im_going_to
and in|and_in
could be|could_be
was to|was_to
to watch|to_watch
i used|i_used
to come|to_come
a big|a_big
the story|the_story
and so|and_so
according to the|according_to_the
in an|in_an
the time|the_time
one of the|one_of_the
as we|as_we
wanted to|wanted_to
you in|you_in
when it|when_it
expected to|expected_to
out to|out_to
out of the|out_of_the
the end of|the_end_of
not be|not_be
to work|to_work
people who|people_who
in new|in_new
a long|a_long
and im|and_im
is no|is_no
through a|through_a
was not|was_not
lots of|lots_of
of course|of_course
of them|of_them
i found|i_found
up in|up_in
in and|in_and
the top|the_top
it all|it_all
who is|who_is
to start|to_start
went to|went_to
the national|the_national
some of the|some_of_the
the right|the_right
of what|of_what
does not|does_not
have the|have_the
have a great|have_a_great
for all|for_all
i want to|i_want_to
that are|that_are
is one|is_one
see the|see_the
dont have|dont_have
mothers day|mothers_day
to eat|to_eat
those who|those_who
was the|was_the
instead of|instead_of
director of|director_of
were a|were_a
with me|with_me
now i|now_i
my favorite|my_favorite
who has|who_has
when he|when_he
that she|that_she
said they|said_they
to be a|to_be_a
and is|and_is
rt i|rt_i
get to|get_to
can i|can_i
this time|this_time
to see you|to_see_you
now i|now_i
it has|it_has
tell you|tell_you
he is|he_is
the case|the_case
according to|according_to
there are|there_are
up for|up_for
than the|than_the
across the|across_the
my mom|my_mom
make it|make_it
get the|get_the
this is a|this_is_a
the fact that|the_fact_that
i went|i_went
rest of|rest_of
get the|get_the
a big|a_big
and we|and_we
and all|and_all
of an|of_an
a small|a_small
there were|there_were
all day|all_day
the states|the_states
i like|i_like
said she|said_she
what you|what_you
talk about|talk_about
as you|as_you
you like|you_like
in this|in_this
you will|you_will
come to|come_to
this week|this_week
time for|time_for
the game|the_game
as an|as_an
this one|this_one
about it|about_it
no one|no_one
a big|a_big
in the first|in_the_first
under the|under_the
the people|the_people
i did|i_did
the rest of|the_rest_of
for following|for_following
but im|but_im
as they|as_they
the house|the_house
their own|their_own
up and|up_and
and then|and_then
is on|is_on
to you|to_you
time and|time_and
the day|the_day
here is|here_is
you so|you_so
what the|what_the
thank you|thank_you
many of|many_of
number of|number_of
i have to|i_have_to
down the|down_the
the united|the_united
what are|what_are
lots of|lots_of
i wanna|i_wanna
had to|had_to
they dont|they_dont
with this|with_this
up on|up_on
with her|with_her
out and|out_and
years ago|years_ago
and they|and_they
so far|so_far
with me|with_me
tell me|tell_me
able to|able_to
who are|who_are
do it|do_it
to meet|to_meet
there is a|there_is_a
i have a|i_have_a
that we|that_we
and is|and_is
you cant|you_cant
the house|the_house
but also|but_also
am i|am_i
los angeles|los_angeles
i have to|i_have_to
and she|and_she
we need|we_need
if they|if_they
as he|as_he
and if|and_if
working on|working_on
in which|in_which
from my|from_my
i made|i_made
say that|say_that
if it|if_it
wait for|wait_for
to pay|to_pay
was in|was_in
him to|him_to
and was|and_was
so many|so_many
may be|may_be
out there|out_there
of an|of_an
my new|my_new
or the|or_the
during a|during_a
that the|that_the
in that|in_that
people who|people_who
and have|and_have
if youre|if_youre
to find|to_find
who is|who_is
part of the|part_of_the
when they|when_they
two years|two_years
on this|on_this
than the|than_the
it is a|it_is_a
makes me|makes_me
to her|to_her
of her|of_her
among the|among_the
go to|go_to
away from|away_from
i need|i_need
in order|in_order
in her|in_her
right now|right_now
to find|to_find
sort of|sort_of
going to be|going_to_be
also a|also_a
think it|think_it
out the|out_the
the second|the_second
do i|do_i
that there|that_there
at pm|at_pm
not to|not_to
since the|since_the
time to|time_to
and im|and_im
day of|day_of
are the|are_the
of our|of_our
of that|of_that
i get|i_get
along with|along_with
the two|the_two
i have been|i_have_been
excited to|excited_to
because it|because_it
told the|told_the
like that|like_that
where the|where_the
it up|it_up
back in|back_in
like the|like_the
the end|the_end
and this|and_this
im in|im_in
try to|try_to
based on|based_on
and it|and_it
to try|to_try
i dont know|i_dont_know
with an|with_an
is going to|is_going_to
going to be|going_to_be
to share|to_share
each other|each_other
i dont know|i_dont_know
the other|the_other
used to|used_to
better than|better_than
some of|some_of
them to|them_to
so we|so_we
as an|as_an
even though|even_though
know how|know_how
it will|it_will
where i|where_i
like it|like_it
united states|united_states
to his|to_his
many of|many_of
it to|it_to
the school|the_school
next week|next_week
me know|me_know
i should|i_should
seems to|seems_to
to give|to_give
is in|is_in
no one|no_one
to come|to_come
me that|me_that
one of my|one_of_my
rather than|rather_than
for more|for_more
to put|to_put
for this|for_this
up the|up_the
to follow|to_follow
a while|a_while
that i|that_i
if they|if_they
as much|as_much
to win|to_win
try to|try_to
might be|might_be
for all|for_all
to read|to_read
along with|along_with
the rt|the_rt
not be|not_be
and there|and_there
and how|and_how
when they|when_they
and more|and_more
to say|to_say
the final|the_final
that will|that_will
i still|i_still
you all|you_all
is an|is_an
before the|before_the
is so|is_so
is just|is_just
too much|too_much
new york|new_york
would love|would_love
was so|was_so
used to|used_to
he says|he_says
is also|is_also
all my|all_my
we will|we_will
is what|is_what
he would|he_would
how to|how_to
hard to|hard_to
be there|be_there
up in|up_in
lol i|lol_i
but its|but_its
when it|when_it
due to|due_to
and was|and_was
too much|too_much
in which|in_which
but it|but_it
at this|at_this
had the|had_the
and my|and_my
and to|and_to
and other|and_other
the public|the_public
let me|let_me
you have a|you_have_a
to go to|to_go_to
president of|president_of
is my|is_my
i decided|i_decided
even if|even_if
when i|when_i
this season|this_season
where the|where_the
to help|to_help
down the|down_the
this is the|this_is_the
want a|want_a
under the|under_the
how much|how_much
follow back|follow_back
i guess|i_guess
the united states|the_united_states
it would|it_would
to your|to_your
back in|back_in
department of|department_of
with his|with_his
without a|without_a
the federal|the_federal
first time|first_time
to look|to_look
a long|a_long
making a|making_a
which has|which_has
i had to|i_had_to
how much|how_much
me too|me_too
and what|and_what
like this|like_this
i am|i_am
talk to|talk_to
so excited|so_excited
not to|not_to
wake up|wake_up
the th|the_th
create a|create_a
if u|if_u
good to|good_to
for years|for_years
for the rt|for_the_rt
but not|but_not
am a|am_a
the third|the_third
the s|the_s
to write|to_write
in that|in_that
are not|are_not
with your|with_your
that will|that_will
that has|that_has
seem to|seem_to
us to|us_to
of people|of_people
it was a|it_was_a
for some|for_some
the th|the_th
how are|how_are
at all|at_all
he was|he_was
to think|to_think
getting a|getting_a
for her|for_her
life is|life_is
of it|of_it
let me know|let_me_know
quite a|quite_a
needs to|needs_to
dont want|dont_want
will have|will_have
and even|and_even
is it|is_it
great day|great_day
into the|into_the
on your|on_your
it in|it_in
on his|on_his
are so|are_so
including the|including_the
my favorite|my_favorite
we were|we_were
not the|not_the
off to|off_to
i havent|i_havent
not sure|not_sure
them and|them_and
all that|all_that
will have|will_have
that would|that_would
plans to|plans_to
more about|more_about
is to|is_to
its the|its_the
i still|i_still
day to|day_to
the first time|the_first_time
million in|million_in
im gonna|im_gonna
come on|come_on
to sleep|to_sleep
up with|up_with
come to|come_to
to our|to_our
you do|you_do
san francisco|san_francisco
with it|with_it
said we|said_we
if we|if_we
i saw|i_saw
i wanted to|i_wanted_to
and get|and_get
but the|but_the
for an|for_an
to win|to_win
i knew|i_knew
to start|to_start
for our|for_our
for some|for_some
a very|a_very
order to|order_to
his first|his_first
as he|as_he
when you|when_you
what do|what_do
over the|over_the
because the|because_the
make the|make_the
look at|look_at
time i|time_i
the one|the_one
sounds like|sounds_like
of it|of_it
up in|up_in
to play|to_play
the university|the_university
first time|first_time
on to|on_to
think i|think_i
have no|have_no
less than|less_than
think that|think_that
but they|but_they
before i|before_i
to an|to_an
hes a|hes_a
do not|do_not
be on|be_on
the citys|the_citys
that my|that_my
and as|and_as
you think|you_think
listen to|listen_to
across the|across_the
the back|the_back
feel like|feel_like
since i|since_i
to tell|to_tell
who are|who_are
know i|know_i
are you|are_you
a long|a_long
not that|not_that
him to|him_to
today is|today_is
the rest|the_rest
and we|and_we
seemed to|seemed_to
lets go|lets_go
it seems|it_seems
the big|the_big
look at|look_at
is going|is_going
in order to|in_order_to
to our|to_our
to it|to_it
that are|that_are
i had|i_had
must be|must_be
think of|think_of
be able|be_able
can see|can_see
about this|about_this
the county|the_county
was going|was_going
last month|last_month
enough to|enough_to
dont think|dont_think
you just|you_just
please follow|please_follow
i saw|i_saw
on their|on_their
a bit of|a_bit_of
im just|im_just
end of the|end_of_the
with an|with_an
full of|full_of
be able to|be_able_to
the show|the_show
found a|found_a
have no|have_no
up on|up_on
and more|and_more
what the|what_the
know that|know_that
got to|got_to
a week|a_week
him a|him_a
what they|what_they
does not|does_not
to talk|to_talk
end of|end_of
in its|in_its
we can|we_can
the us|the_us
looking for|looking_for
and some|and_some
you get|you_get
a couple|a_couple
make sure|make_sure
i felt|i_felt
for it|for_it
the ball|the_ball
of course|of_course
what we|what_we
to their|to_their
and when|and_when
as they|as_they
side of|side_of
i started|i_started
of people|of_people
if a|if_a
those who|those_who
because the|because_the
their own|their_own
all i|all_i
shout out|shout_out
and her|and_her
we all|we_all
top of|top_of
out there|out_there
going on|going_on
while the|while_the
my first|my_first
i should|i_should
you got|you_got
based on|based_on
of time|of_time
youre a|youre_a
on their|on_their
while i|while_i
could be|could_be
make me|make_me
can do|can_do
with some|with_some
the idea|the_idea
there were|there_were
much of|much_of
but its|but_its
be in|be_in
because i|because_i
but its|but_its
much more|much_more
off the|off_the
i cant wait|i_cant_wait
who had|who_had
who is|who_is
and their|and_their
and its|and_its
but we|but_we
tonight at|tonight_at
i wish i|i_wish_i
has to|has_to
did a|did_a
a day|a_day
not have|not_have
a day|a_day
you need|you_need
wanted to|wanted_to
the middle|the_middle
if you are|if_you_are
is one|is_one
between the|between_the
you on|you_on
not the|not_the
glad you|glad_you
make the|make_the
you want to|you_want_to
the board|the_board
for about|for_about
a bit|a_bit
it for|it_for
will not|will_not
hard to|hard_to
university of|university_of
is still|is_still
last year|last_year
it would be|it_would_be
is your|is_your
continue to|continue_to
like you|like_you
i feel like|i_feel_like
and has|and_has
that has|that_has
i couldnt|i_couldnt
he also|he_also
with you|with_you
his wife|his_wife
know if|know_if
and for|and_for
the very|the_very
watching the|watching_the
for those|for_those
wants to|wants_to
as it|as_it
how many|how_many
a statement|a_statement
the kids|the_kids
you and|you_and
all of the|all_of_the
i mean|i_mean
yes i|yes_i
would you|would_you
tried to|tried_to
it on|it_on
when i was|when_i_was
for that|for_that
as i|as_i
i think i|i_think_i
tried to|tried_to
out for|out_for
last week|last_week
must be|must_be
up and|up_and
of this|of_this
because they|because_they
make sure|make_sure
of all|of_all
do with|do_with
and now|and_now
you i|you_i
like i|like_i
am not|am_not
i never|i_never
which was|which_was
taking a|taking_a
social media|social_media
any of|any_of
like i|like_i
so far|so_far
there is no|there_is_no
are in|are_in
seems like|seems_like
looking at|looking_at
you may|you_may
which he|which_he
things that|things_that
my phone|my_phone
she has|she_has
people who|people_who
would have|would_have
put a|put_a
a small|a_small
a former|a_former
wants to|wants_to
said its|said_its
got to|got_to
welcome to|welcome_to
they will|they_will
waiting for|waiting_for
just as|just_as
between the|between_the
for that|for_that
what it|what_it
just saw|just_saw
to keep|to_keep
them in|them_in
i havent|i_havent
they had|they_had
said in a|said_in_a
out to|out_to
at the end|at_the_end
how do|how_do
going on|going_on
you want to|you_want_to
get the|get_the
all i|all_i
using the|using_the
so the|so_the
the law|the_law
thanks for following|thanks_for_following
at work|at_work
were not|were_not
front of|front_of
is no|is_no
on it|on_it
for an|for_an
a way|a_way
if youre|if_youre
dont want|dont_want
make it|make_it
it out|it_out
im going|im_going
off a|off_a
in her|in_her
in one|in_one
ready to|ready_to
love to|love_to
it the|it_the
ended up|ended_up
away from|away_from
who have|who_have
the word|the_word
but this|but_this
if he|if_he
i can|i_can
excited about|excited_about
to reach|to_reach
give a|give_a
can get|can_get
amount of|amount_of
to create|to_create
on it|on_it
cant wait for|cant_wait_for
most of the|most_of_the
end of the|end_of_the
they can|they_can
with all|with_all
i said|i_said
for us|for_us
what the|what_the
a time|a_time
could have|could_have
first time|first_time
sense of|sense_of
a huge|a_huge
a yearold|a_yearold
of us|of_us
to have a|to_have_a
be in|be_in
it with|it_with
dont know|dont_know
the yearold|the_yearold
like to|like_to
but you|but_you
is just|is_just
and an|and_an
up for|up_for
i would|i_would
no longer|no_longer
was just|was_just
for their|for_their
they can|they_can
me up|me_up
over and|over_and
for our|for_our
to put|to_put
so it|so_it
you could|you_could
at my|at_my
instead of|instead_of
i had a|i_had_a
its the|its_the
it but|it_but
or the|or_the
use a|use_a
in my|in_my
is this|is_this
to use|to_use
of the day|of_the_day
saw a|saw_a
seems to|seems_to
back and|back_and
the rest|the_rest
the first time|the_first_time
and their|and_their
on that|on_that
of them|of_them
i am not|i_am_not
who have|who_have
as if|as_if
i took|i_took
but he|but_he
not only|not_only
is one of|is_one_of
of all|of_all
his own|his_own
to their|to_their
a large|a_large
said but|said_but
you at|you_at
a nice|a_nice
as much|as_much
not sure|not_sure
no one|no_one
its been|its_been
you so much|you_so_much
for their|for_their
here are|here_are
but that|but_that
but they|but_they
thousands of|thousands_of
like that|like_that
where he|where_he
to show|to_show
still a|still_a
she had|she_had
for the first|for_the_first
think about|think_about
day and|day_and
yeah i|yeah_i
dont forget|dont_forget
the year|the_year
to play|to_play
in the world|in_the_world
love that|love_that
the city|the_city
is an|is_an
for his|for_his
might be|might_be
the entire|the_entire
went to|went_to
of what|of_what
my first|my_first
against the|against_the
on her|on_her
my friend|my_friend
it i|it_i
would love to|would_love_to
out in|out_in
it all|it_all
have an|have_an
might be|might_be
congrats to|congrats_to
may have|may_have
know how|know_how
how i|how_i
for an|for_an
with their|with_their
your own|your_own
of my|of_my
whats up|whats_up
thats what|thats_what
one of my|one_of_my
know you|know_you
for it|for_it
dont think|dont_think
like it|like_it
the s|the_s
members of|members_of
or not|or_not
would not|would_not
and her|and_her
him and|him_and
about how|about_how
to give|to_give
the district|the_district
happy mothers|happy_mothers
the following|the_following
when the|when_the
wait to see|wait_to_see
life and|life_and
and our|and_our
the government|the_government
you love|you_love
the american|the_american
to all|to_all
to it|to_it
a day|a_day
was just|was_just
us a|us_a
of the year|of_the_year
i know|i_know
these are|these_are
look like|look_like
time for|time_for
i never|i_never
could have|could_have
so good|so_good
they have|they_have
right now|right_now
the whole|the_whole
the number|the_number
rt if|rt_if
me on|me_on
supposed to|supposed_to
hope to|hope_to
you for the|you_for_the
why do|why_do
the former|the_former
much of|much_of
plenty of|plenty_of
the people|the_people
year and|year_and
they had|they_had
know i|know_i
most of the|most_of_the
great to|great_to
much for|much_for
rest of|rest_of
happy mothers day|happy_mothers_day
three years|three_years
at am|at_am
glad to|glad_to
it up|it_up
willing to|willing_to
to live|to_live
in our|in_our
the right|the_right
it on|it_on
to me|to_me
couple of|couple_of
me the|me_the
the bill|the_bill
a great day|a_great_day
of me|of_me
it as|it_as
that she|that_she
chance to|chance_to
health care|health_care
when she|when_she
you dont|you_dont
the rest of|the_rest_of
so much|so_much
of new|of_new
the big|the_big
of its|of_its
in addition|in_addition
on our|on_our
after all|after_all
can do|can_do
i mean|i_mean
would like|would_like
think of|think_of
nice to|nice_to
looked at|looked_at
is like|is_like
are all|are_all
you could|you_could
you see|you_see
you have to|you_have_to
throughout the|throughout_the
a man|a_man
coming to|coming_to
the main|the_main
in some|in_some
out and|out_and
the old|the_old
we love|we_love
excited for|excited_for
if it|if_it
here in|here_in
im not|im_not
told me|told_me
i wonder|i_wonder
a couple|a_couple
it and|it_and
piece of|piece_of
me in|me_in
to them|to_them
the night|the_night
but in|but_in
do i|do_i
is very|is_very
something that|something_that
hard to|hard_to
that in|that_in
of us|of_us
to him|to_him
but you|but_you
a whole|a_whole
though i|though_i
for example|for_example
should have|should_have
but im|but_im
all over|all_over
until the|until_the
it takes|it_takes
me in|me_in
havent been|havent_been
get your|get_your
my mind|my_mind
the field|the_field
talk about|talk_about
you all|you_all
i always|i_always
from to|from_to
forward to|forward_to
and will|and_will
for them|for_them
that would|that_would
instead of|instead_of
of those|of_those
day i|day_i
at home|at_home
with your|with_your
a very|a_very
